,종목명,과열횟수
0,AJ렌터카,1.0
1,BGF리테일,3.0
2,BNK금융지주,2.0
3,CJ CGV,5.0
4,CJ씨푸드,1.0
5,CJ씨푸드1우,1.0
6,CJ우,1.0
7,CJ제일제당,1.0
8,DB손해보험,1.0
9,DB하이텍,1.0
10,DL,1.0
11,DSR,1.0
12,DSR제강,1.0
13,F&F,1.0
14,GKL,2.0
15,GS리테일,2.0
16,HDC,1.0
17,HDC아이콘트롤스,1.0
18,HDC현대산업개발,3.0
19,HSD엔진,1.0
20,IHQ,1.0
21,KCC,2.0
22,KC그린홀딩스,1.0
23,KR모터스,1.0
24,LF,1.0
25,LG디스플레이,2.0
26,LG생활건강,2.0
27,LG생활건강우,1.0
28,LG이노텍,3.0
29,LIG넥스원,3.0
30,LS ELECTRIC,1.0
31,LS산전,1.0
32,LS전선아시아,1.0
33,LX인터내셔널,1.0
34,NAVER,1.0
35,NH투자증권,1.0
36,OCI,7.0
37,PI첨단소재,1.0
38,S&T모티브,1.0
39,SIMPAC,1.0
40,SKC,2.0
41,SK디스커버리,2.0
42,SK이노베이션,1.0
43,SK증권,2.0
44,SPC삼립,1.0
45,STX중공업,2.0
46,TBH글로벌,1.0
47,YG PLUS,1.0
48,강원랜드,1.0
49,갤럭시아에스엠,2.0
50,경농,1.0
51,경인양행,1.0
52,계양전기우,2.0
53,골든브릿지증권,1.0
54,광동제약,1.0
55,국동,1.0
56,금호산업,1.0
57,금호석유,4.0
58,금호전기,1.0
59,금호타이어,2.0
60,깨끗한나라,1.0
61,남광토건,1.0
62,남영비비안,1.0
63,넷마블,4.0
64,넷마블게임즈,1.0
65,녹십자,1.0
66,농심,2.0
67,다우기술,1.0
68,대신증권,1.0
69,대양금속,1.0
70,대우건설,1.0
71,대우부품,1.0
72,대우조선해양,1.0
73,대웅,1.0
74,대웅제약,2.0
75,대원전선,1.0
76,대유에이텍,1.0
77,대창,1.0
78,대한방직,1.0
79,대한유화,1.0
80,대한전선,4.0
81,대한해운,1.0
82,대호에이엘,1.0
83,더존비즈온,2.0
84,덕성우,1.0
85,덴티움,1.0
86,동국제강,3.0
87,동방,1.0
88,동부제철,2.0
89,동성제약,1.0
90,동양네트웍스,1.0
91,동양물산,1.0
92,동양생명,1.0
93,동원,1.0
94,동원수산,1.0
95,동원시스템즈,2.0
96,두산,1.0
97,두산우,1.0
98,두산인프라코어,2.0
99,두산중공업,3.0
100,두산퓨얼셀,2.0
101,디피씨,1.0
102,락앤락,2.0
103,롯데쇼핑,2.0
104,롯데지주,2.0
105,롯데지주우,1.0
106,롯데하이마트,1.0
107,마니커,2.0
108,만도,5.0
109,메리츠금융지주,1.0
110,메리츠종금증권,1.0
111,무학,1.0
112,미래산업,2.0
113,보령제약,1.0
114,부광약품,1.0
115,부산산업,1.0
116,비상교육,2.0
117,사조씨푸드,1.0
118,사조해표,1.0
119,삼성생명,1.0
120,삼성에스디에스,2.0
121,삼성엔지니어링,2.0
122,삼성전기,2.0
123,삼성제약,1.0
124,삼성중공업,6.0
125,삼성증권,1.0
126,삼성카드,2.0
127,삼성화재,2.0
128,삼양식품,1.0
129,삼양홀딩스,1.0
130,삼영화학,1.0
131,삼일제약,1.0
132,삼화페인트,1.0
133,상상인증권,1.0
134,샘표식품,2.0
135,서연,2.0
136,서울식품우,2.0
137,서원,1.0
138,선진,1.0
139,성신양회,1.0
140,성안,1.0
141,세방전지,1.0
142,세아베스틸,1.0
143,세종공업,1.0
144,셀트리온,1.0
145,송원산업,1.0
146,스카이라이프,1.0
147,신도리코,1.0
148,신성이엔지,1.0
149,신세계 I&C,1.0
150,신세계인터내셔날,1.0
151,신풍제약,1.0
152,신풍제약우,1.0
153,아모레G,3.0
154,아모레G우,1.0
155,아모레퍼시픽,2.0
156,아시아나IDT,1.0
157,아이마켓코리아,2.0
158,아티스,1.0
159,에스원,1.0
160,에어부산,1.0
161,에이엔피,1.0
162,에이프로젠 KIC,1.0
163,에이프로젠제약,1.0
164,엔씨소프트,1.0
165,엔에스쇼핑,1.0
166,엔케이,1.0
167,엔케이물산,2.0
168,영원무역,1.0
169,영풍,1.0
170,영풍제지,1.0
171,오리엔트바이오,2.0
172,오리온,1.0
173,오리온홀딩스,1.0
174,와이비로드,1.0
175,우리들제약,1.0
176,우리들휴브레인,1.0
177,우리은행,1.0
178,우성사료,1.0
179,우신시스템,1.0
180,웅진,2.0
181,웅진씽크빅,2.0
182,웅진에너지,1.0
183,웅진코웨이,1.0
184,유니온,1.0
185,유유제약1우,1.0
186,유한양행,2.0
187,이구산업,1.0
188,이노션,2.0
189,이마트,1.0
190,이수페타시스,1.0
191,이수화학,1.0
192,이스타코,1.0
193,이아이디,1.0
194,이화산업,1.0
195,인디에프,1.0
196,일신방직,1.0
197,일진디스플,1.0
198,일진머티리얼즈,2.0
199,일진전기,1.0
200,일진홀딩스,1.0
201,자화전자,1.0
202,제이준코스메틱,1.0
203,제일약품,1.0
204,조비,2.0
205,종근당,1.0
206,종근당홀딩스,1.0
207,지누스,2.0
208,지엠비코리아,1.0
209,지코,1.0
210,진원생명과학,1.0
211,청호컴넷,1.0
212,체시스,1.0
213,카카오,1.0
214,코리아써키트,1.0
215,코스맥스,3.0
216,코스맥스비티아이,1.0
217,코아스,1.0
218,코오롱,2.0
219,코오롱글로벌,1.0
220,코오롱우,1.0
221,코오롱인더,2.0
222,콤텍시스템,2.0
223,쿠쿠홈시스,1.0
224,키다리스튜디오,2.0
225,키움증권,1.0
226,키위미디어그룹,1.0
227,티에이치엔,1.0
228,파미셀,3.0
229,팜스코,1.0
230,퍼스텍,1.0
231,포스코대우,1.0
232,하나투어,4.0
233,하이트진로,1.0
234,한국금융지주,1.0
235,한국금융지주우,1.0
236,한국단자,1.0
237,한국석유,2.0
238,한국조선해양,1.0
239,한국주강,1.0
240,한국콜마,3.0
241,한국항공우주,2.0
242,한독,2.0
243,한라홀딩스,2.0
244,한미반도체,1.0
245,한미사이언스,2.0
246,한미약품,2.0
247,한샘,5.0
248,한섬,1.0
249,한세실업,1.0
250,한솔로지스틱스,1.0
251,한솔테크닉스,2.0
252,한올바이오파마,3.0
253,한일시멘트,1.0
254,한일홀딩스,3.0
255,한전KPS,1.0
256,한전기술,1.0
257,한진,1.0
258,한진중공업,1.0
259,한진칼우,2.0
260,한창,1.0
261,한화,1.0
262,한화생명,1.0
263,한화에어로스페이스,2.0
264,한화우,1.0
265,한화케미칼,1.0
266,한화투자증권우,1.0
267,현대모비스,1.0
268,현대엘리베이,1.0
269,현대위아,2.0
270,현대일렉트릭,4.0
271,현대중공업,1.0
272,현대차,1.0
273,현대코퍼레이션홀딩스,1.0
274,현대해상,1.0
275,형지엘리트,2.0
276,혜인,2.0
277,호텔신라,3.0
278,화인베스틸,1.0
279,효성,1.0
280,휠라코리아,1.0
281,휠라홀딩스,1.0
282,휴니드,1.0
283,흥국화재우,1.0
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,,
382,,
383,,
384,,
385,,
386,,
387,,
388,,
389,,
390,,
391,,
392,,
393,,
394,,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
