순위,종목코드,종목명,수량_공매도잔고수량,수량_상장주식수,금액_공매도잔고금액,금액_시가총액,비중
"1","032350","롯데관광개발","5917171","72332651","6.9526759E7","8.49908649E8","8.18"
"2","008770","호텔신라","2851481","39248121","1.94471004E8","2.676721852E9","7.26"
"3","011200","HMM","35346655","489039496","8.43017722E8","1.166359198E10","7.23"
"4","336260","두산퓨얼셀","3382045","65493726","9.8924816E7","1.915691486E9","5.16"
"5","161890","한국콜마","1026062","22881180","3.8323416E7","8.54612073E8","4.48"
"6","298050","효성첨단소재","199343","4479948","7.1962823E7","1.617261228E9","4.45"
"7","090430","아모레퍼시픽","2436014","58492759","3.17899827E8","7.63330505E9","4.17"
"8","034220","LG디스플레이","12750742","357815700","1.9572389E8","5.492470995E9","3.56"
"9","042670","현대두산인프라코어","6716212","197532525","3.4722816E7","1.021243154E9","3.40"
"10","114090","GKL","1940923","61855670","2.6590645E7","8.47422679E8","3.14"
"11","064350","현대로템","3162994","109142293","5.9464287E7","2.051875108E9","2.90"
"12","001440","대한전선","35462107","1244473009","6.1881377E7","2.171605401E9","2.85"
"13","003670","포스코케미칼","2171624","77463220","2.30192144E8","8.21110132E9","2.80"
"14","302440","SK바이오사이언스","2145998","76784046","2.60738757E8","9.329261589E9","2.79"
"15","042660","대우조선해양","2944487","107290669","5.9184189E7","2.156542447E9","2.74"
"16","323410","카카오뱅크","12956978","476282437","4.05553411E8","1.4907640278E10","2.72"
"17","294870","HDC현대산업개발","1773517","65907330","1.9952066E7","7.41457463E8","2.69"
"18","034020","두산에너빌리티","16576906","633202124","2.8926701E8","1.1049377064E10","2.62"
"19","009900","명신산업","1205485","52470133","1.9227486E7","8.36898621E8","2.30"
"20","112610","씨에스윈드","959825","42171403","4.6359548E7","2.036878765E9","2.28"
"21","068270","셀트리온","3033818","140767851","5.65807057E8","2.6253204212E10","2.15"
"22","298020","효성티앤씨","90089","4327682","2.9864504E7","1.434626583E9","2.08"
"23","039130","하나투어","286744","13939185","1.5082734E7","7.33201131E8","2.06"
"24","010060","OCI","488615","23849371","6.1321183E7","2.993096061E9","2.05"
"25","011780","금호석유","617061","30295844","8.4845888E7","4.16567855E9","2.04"
"26","020150","일진머티리얼즈","928578","46110835","6.4536171E7","3.204703033E9","2.01"
"27","000210","DL","412862","20955884","2.6712171E7","1.355845695E9","1.97"
"28","009240","한샘","460879","23533928","2.8021443E7","1.430862822E9","1.96"
"29","011790","SKC","737461","37868298","9.4763739E7","4.866076293E9","1.95"
"30","051900","LG생활건강","295016","15618197","2.0208596E8","1.0698464945E10","1.89"
"31","326030","SK바이오팜","1467933","78313250","1.11416115E8","5.943975675E9","1.87"
"32","052690","한전기술","668351","38220000","4.2908134E7","2.453724E9","1.75"
"33","204320","만도","778616","46957120","3.5349166E7","2.131853248E9","1.66"
"34","051600","한전KPS","730356","45000000","2.7315314E7","1.683E9","1.62"
"35","361610","SK아이이테크놀로지","1125701","71297592","9.2082342E7","5.832143026E9","1.58"
"36","000100","유한양행","1146925","73231476","6.5489418E7","4.18151728E9","1.57"
"37","381970","케이카","739567","48086533","1.4865297E7","9.66539313E8","1.54"
"38","019170","신풍제약","806792","52984990","1.8717574E7","1.229251768E9","1.52"
"39","011070","LG이노텍","355948","23667107","1.22624086E8","8.153318362E9","1.50"
"40","259960","크래프톤","724638","49072045","1.69565292E8","1.148285853E10","1.48"
"41","009150","삼성전기","1094741","74693696","1.42863701E8","9.747527328E9","1.47"
"42","028050","삼성엔지니어링","2868205","196000000","5.73641E7","3.92E9","1.46"
"43","003620","쌍용차","2180965","149840002","6041273.0","4.15056806E8","1.46"
"44","079160","CJ CGV","570668","40869397","1.2440562E7","8.90952855E8","1.40"
"45","251270","넷마블","1195617","85953502","8.1541079E7","5.862028836E9","1.39"
"46","011210","현대위아","372851","27195083","2.0096669E7","1.465814974E9","1.37"
"47","002380","KCC","119285","8886471","3.4055868E7","2.537087471E9","1.34"
"48","005850","에스엘","617876","46448520","1.7176953E7","1.291268856E9","1.33"
"49","009830","한화솔루션","2388775","191278497","7.8590698E7","6.293062551E9","1.25"
"50","352820","하이브","513400","41353387","7.67533E7","6.182331357E9","1.24"