지수명,종가,대비,등락률,PER,선행 PER,PBR,배당수익률
"KRX 300","1816.01","5.17","0.29","12.62","0","1.25","1.90"
"KTOP 30","10542.22","43.07","0.41","11.50","0","1.22","2.24"
"KRX 100","6227.25","19.46","0.31","12.10","0","1.22","1.89"
"KRX 자동차","2163.43","12.88","0.60","11.14","0","0.82","1.32"
"KRX 반도체","4106.93","33.40","0.82","19.23","0","2.73","0.54"
"KRX 헬스케어","3751.82","30.65","0.82","70.19","0","5.27","0.15"
"KRX 은행","744.13","4.32","0.58","5.12","0","0.45","3.15"
"KRX 에너지화학","3675.59","-7.53","-0.20","11.60","0","1.28","0.82"
"KRX 철강","1685.35","19.26","1.16","5.97","0","0.56","1.87"
"KRX 방송통신","867.90","1.14","0.13","11.37","0","0.74","2.74"
"KRX 건설","693.13","11.73","1.72","11.79","0","0.99","1.21"
"KRX 증권","776.93","-5.44","-0.70","3.61","0","0.61","4.01"
"KRX 기계장비","596.41","0.26","0.04","0","0","1.43","0.58"
"KRX 보험","1292.07","14.20","1.11","6.66","0","0.45","3.25"
"KRX 운송","1177.07","18.36","1.58","21.90","0","1.50","0.44"
"KRX 경기소비재","1339.40","6.55","0.49","21.87","0","1.40","0.73"
"KRX 필수소비재","1472.54","-0.67","-0.05","11.14","0","1.18","1.94"
"KRX 미디어&엔터테인먼트","3848.10","35.00","0.92","15.45","0","3.75","0.33"
"KRX 정보기술","1862.65","-9.07","-0.48","18.50","0","2.23","1.06"
"KRX 유틸리티","912.92","-0.10","-0.01","21.59","0","0.55","1.95"
"KRX 300 정보기술","2990.66","-16.48","-0.55","17.84","0","2.13","1.17"
"KRX 300 금융","851.67","4.26","0.50","5.15","0","0.48","3.30"
"KRX 300 자유소비재","1662.30","10.96","0.66","12.90","0","0.93","1.11"
"KRX 300 산업재","666.97","4.31","0.65","22.45","0","1.03","1.16"
"KRX 300 헬스케어","3194.32","26.76","0.84","65.79","0","5.97","0.14"
"KRX 300 커뮤니케이션서비스","2691.98","17.03","0.64","11.89","0","2.10","0.87"
"KRX 300 소재","1657.49","-4.72","-0.28","8.16","0","0.96","1.40"
"KRX 300 필수소비재","1446.26","-0.60","-0.04","11.02","0","1.20","1.96"