회사명,거래소코드,회계년도,PER(최고)(IFRS),PBR(최고)(IFRS),PCR(최고)(IFRS),PSR(최고)(IFRS),총자본증가율(IFRS),자기자본증가율(IFRS),매출액증가율(IFRS),순이익증가율(IFRS),매출액총이익률(IFRS),매출액순이익률(IFRS),자기자본순이익률(IFRS),배당성향(IFRS),부채비율(IFRS),유동비율(IFRS),자기자본회전률(IFRS),기업가치(EV)(IFRS)(백만원),EBITDA(IFRS)(백만원),EV/EBITDA(IFRS)(배)
(주)금양,1570,Dec-21,1609.36,5.67,0,1.91,45.97,27.47,45.14,0,13.16,0.12,0.39,0,295.42,101.26,3.33,364963.83,9751.2,37.43
(주)하이브,352820,Dec-21,1408.02,5.99,642.49,29.46,132.95,120.55,18.37,-79.77,33.93,2.09,0.58,0,50.29,451.34,0.28,15251182.47,65314.37,233.5
부광약품(주),3000,Dec-21,906.41,7.34,68.08,12.17,1.41,4.84,9.32,0,40.99,1.34,0.8,280.75,30.81,528.11,0.6,866669.78,17910.6,48.39
삼부토건(주),1470,Dec-21,895.31,2.66,0,2.06,9.1,6.95,-14.82,-88.5,7.02,0.23,0.31,0,92.82,189.43,1.33,428334.92,-3118.3,0
한미사이언스(주),8930,Dec-21,890.05,13.06,609.19,178.96,-1.06,-2.03,2.19,-6.24,0,20.11,1.4,180.57,16.4,15.31,0.07,3700921.12,13622.76,271.67
제일약품(주),271980,Dec-21,880.81,5.43,33.61,1.34,-0.46,1.82,1.36,-88.36,22.36,0.15,0.61,88.86,130.32,119.97,3.98,530823.08,7581.47,70.02
두산퓨얼셀(주),336260,Dec-21,615.59,10.6,0,14.03,-11.56,1.1,-17.41,-38.72,12.64,2.28,1.69,0,34.87,641.94,0.74,3467817.18,26643.5,130.16
태원물산(주),1420,Dec-21,610.64,1.6,79.83,3.37,-2.24,-0.91,-9.95,0,3.89,0.55,0.26,496.26,19.49,579.14,0.47,43388.64,-56.06,0
두산에너빌리티(주),34020,Dec-21,553.63,3.12,26.25,4.1,25.88,64.75,4.1,0,11.46,0.74,0.58,0,146.1,51.57,0.78,15110499.18,310989.07,48.59
(주)삼성출판사,68290,Dec-21,549.82,3.5,100.88,10.49,38.56,35.54,-0.95,-98.16,50.18,1.91,0.72,186.38,22.98,529.93,0.38,324885.96,3444.73,94.31
이연제약(주),102460,Dec-21,532.9,5.92,121.64,9.79,49.65,5.26,9.82,5.36,55.63,1.84,1.1,173.89,93.99,339.19,0.6,784531.7,6966.84,112.61
(주)카카오,35720,Dec-21,492,39.5,305.77,116.86,36.47,23.07,19.88,0,0,23.75,8.53,4.54,52.95,104.94,0.36,50192135.6,546255,91.88
한국석유공업(주),4090,Dec-21,482.95,30.57,0,16.68,5.56,5.88,15.42,76.37,12.03,3.45,6.31,14.18,76.01,137.23,1.83,217808.33,8025.57,27.14
에스케이씨(주),11790,Dec-21,469.76,4.17,0,14.25,5.77,-1.64,-0.75,-96.36,26.77,3.03,0.85,235.36,64.44,42.82,0.28,7449700.28,60949.49,122.23
롯데푸드(주),2270,Dec-21,402.82,0.74,11.95,0.36,-1.01,3.5,-6.43,-97.99,18.43,0.09,0.18,696.14,61.52,186,2.07,597900.27,95541.33,6.26
솔루스첨단소재(주),336370,Dec-21,402.68,34.91,196.34,36.52,-6.45,8.16,6.67,-69.68,51.95,9.07,8.25,32.53,61.45,80.15,0.91,2973845.18,36670.08,81.1
성창기업지주(주),180,Dec-21,398,0.8,241.69,32.87,0.36,-0.06,15.93,-40.3,0,8.26,0.2,0,18.11,527.97,0.02,168662.4,723.81,233.02
에스케이아이이테크놀로지(주),361610,Dec-21,372.43,7.86,260.89,43.13,56.19,75.55,-14.21,-49.6,31.36,11.58,2.69,0,20.16,1263.68,0.23,12314535.19,108062.52,113.96
씨에스윈드(주),112610,Dec-21,336.99,9.48,0,12.38,123.97,153.05,-6.52,23.74,10.21,3.67,3.88,107.68,26.22,497.64,1.06,2775917.95,44651.27,62.17
(주)경동인베스트,12320,Dec-21,336.86,0.4,146.17,13.58,-0.31,-0.23,15.14,-72.72,62.53,4.03,0.12,457.6,0.39,5001.46,0.03,81794.82,1119.02,73.09
대한제당(주),1790,Dec-21,308.01,8.74,0,3.62,3.37,4.92,4.05,-20.2,9.35,1.17,2.8,77.94,107.08,161.25,2.38,604877.47,40273.39,15.02
(주)화승엔터프라이즈,241590,Dec-21,284.1,3.8,346.19,276.85,-0.44,0.73,22.64,985.49,0,97.45,1.33,57.73,8.84,659.59,0.01,943168.89,1915.09,492.49
전방(주),950,Dec-21,279.07,0.54,0,0.58,2.41,2.3,27.66,-96.37,9.74,0.21,0.2,0,166.79,130.04,0.94,233003.75,17465.79,13.34
한국전력기술(주),52690,Dec-21,270.64,9.45,0,10.28,0.83,2.88,0.33,-18.39,25.35,3.8,3.25,55.03,37.31,138.7,0.86,3222791.29,33389.52,96.52
에이치디씨현대이피(주),89470,Dec-21,249.41,1,0,0.34,5.71,-1.06,25.35,-92.1,9.96,0.14,0.39,411.9,87.12,176.9,2.84,259927.23,32911.22,7.9
명신산업(주),9900,Dec-21,244.62,15.97,329.71,17.12,0.74,64.06,7.77,0,13.3,7,8.11,0,31.24,301.21,1.16,1582108,21252.18,74.44
한올바이오파마(주),9420,Dec-21,236.7,14.69,2555.59,20.88,-9.82,-9.79,14.66,-54.89,59.39,8.82,5.2,0,21.32,536.53,0.59,1088176.11,12811.8,84.94
(주)인스코비,6490,Dec-21,229.56,11.84,0,19.93,50.33,52.96,26.22,-59.92,41.35,8.68,6.14,0,55.81,86.89,0.71,353750.27,-5744.15,0
대한방직(주),1070,Dec-21,221.71,1.97,0,1.4,8.53,1.93,14.3,-49.29,9,0.63,0.9,0,67.39,168.76,1.42,308455.11,7115.94,43.35
(주)솔루엠,248070,Dec-21,218.65,9.13,0,3.17,36.46,186.3,-16.66,-4.92,12.11,1.45,6.1,0,53.77,197.56,4.21,1158334.51,9667.37,119.82
대원전선(주),6340,Dec-21,217.35,3.22,0,0.61,16.84,2.63,29.35,-43.63,2.28,0.28,1.5,0,151.07,139.81,5.32,173113.7,4012.84,43.14
(주)이스타코,15020,Dec-21,216.08,6.52,0,45.82,16.11,3.07,19.82,0,43.51,21.21,3.02,0,63.11,89.48,0.14,153766.26,313.98,489.73
(주)티와이홀딩스,363280,Dec-21,213.6,1.68,128.01,81.63,0,0,0,0,0,38.22,0.79,0,16.27,18.53,0.02,1253711.85,11225.17,111.69
(주)SH에너지화학,2360,Dec-21,213.18,1.79,0,1.15,1.59,1.59,52.47,0,7.04,0.54,0.83,145.6,29.78,561.48,1.54,105373.47,3311.56,31.82
한미약품(주),128940,Dec-21,210.89,10.56,38.06,5.62,-2.94,0.92,5.11,710.01,44.71,2.67,4.49,24.5,166.7,61.22,1.68,4021924.51,133548.99,30.12
(주)만도,204320,Dec-21,206.96,3.99,146.68,1.44,2.73,4.29,-3.79,-2.35,12.55,0.7,1.78,185.82,181.6,99.8,2.56,4140661.46,157948.67,26.22
일진머티리얼즈(주),20150,Dec-21,206.24,11.37,284.8,19.34,26.82,6.09,20.96,69.63,15.42,9.38,5.5,41.81,39.49,841.58,0.59,6342150.38,54608.15,116.14
대한전선(주),1440,Dec-21,205.26,11.51,0,2.37,17.31,4.86,28.51,-11.88,5.47,1.15,5.61,0,249.05,118.81,4.86,1975601.3,60836.22,32.47
(주)키다리스튜디오,20120,Dec-21,202.39,3.19,167.83,13.29,454.94,628.62,33.57,63.95,37.49,6.57,2.77,0,18.06,135.42,0.42,537791.18,5497.39,97.83
(주)서연,7860,Dec-21,183.08,2.06,154.91,39.38,0.78,0.76,19.9,-30.22,0,21.51,1.11,64.6,1.13,1258.29,0.05,285158.46,4108.15,69.41
스틱인베스트먼트(주),26890,Dec-21,183.06,4.76,0,15.6,122.67,105.86,42.55,0,18.68,8.52,3.33,117.52,25.42,261.63,0.39,606915.67,2231.2,272.01
쿠쿠홀딩스(주),192400,Dec-21,179.61,9.56,158.68,147.17,4.53,0.96,31.65,58.97,96.04,81.93,5.13,76.04,12.28,1285.68,0.06,695748.88,27765.9,25.06
(주)신세계푸드,31440,Dec-21,173.27,1.59,6.03,0.33,-0.94,-0.13,7.87,0,14.8,0.19,0.88,116.02,206.08,151.42,4.64,702954.38,82810.45,8.49
삼성바이오로직스(주),207940,Dec-21,163.7,20.48,153.33,44.18,35.18,14.04,34.62,68.62,46.29,26.99,13.2,0,72.85,254.4,0.49,60997706.44,696721.87,87.55
제이더블유중외제약(주),1060,Dec-21,162.99,4.69,45.15,1.42,3.02,-0.14,10.91,0,40.06,0.87,2.54,140.26,168.1,129.87,2.91,644478.82,50363.15,12.8
(주)락앤락,115390,Dec-21,162.71,1.74,80.51,3.7,-5.04,-5.46,14.22,0,37.94,2.27,1,0,14.44,277.38,0.44,563005.1,11582.16,48.61
일동홀딩스(주),230,Dec-21,156.44,1.29,221.58,12.44,8.19,2.54,7.46,-92.04,0,7.95,0.83,78.1,52.36,33.42,0.1,203110.83,2409.75,84.29
한온시스템(주),18880,Dec-21,151.13,12.89,32.15,3.77,-2.36,-12.15,6.75,0,12.87,2.49,5.83,67.32,310.7,118.46,2.34,9196271.26,185310.43,49.63
(주)수산중공업,17550,Dec-21,150.13,4.3,0,4.27,8.29,9.02,84.46,243.91,20.97,2.84,2.92,18.33,60.85,85.97,1.03,195094.98,8465.34,23.05
(주)휴비스,79980,Dec-21,143.03,1.15,0,0.52,-6.51,-2.56,20.65,-95.84,6.65,0.37,0.77,305.47,78,93.47,2.1,407568.52,42890.23,9.5
대림비앤코(주),5750,Dec-21,138.02,1.15,0,0.67,0.18,-0.56,12.69,0,19,0.49,0.8,171.7,107.28,103.39,1.64,197201.16,11746.35,16.79
코스모화학(주),5420,Dec-21,136.22,5.12,2933.77,3.79,14.08,17.31,50.25,0,12.08,2.78,4.02,0,177.47,45.36,1.44,597732.67,17525.83,34.11
대상홀딩스(주),84690,Dec-21,136.2,1.38,46.99,17.8,22.89,-2.17,7.16,51.72,0,13.07,0.97,245.11,31.3,608.44,0.07,458916.91,12815.95,35.81
(주)알루코,1780,Dec-21,128.57,2.42,0,1.88,17.83,9.61,18.41,0,5.07,1.46,1.96,0,111.89,151.61,1.34,494109.03,10349.95,47.74
일양약품(주),7570,Dec-21,128.37,8.81,25.99,5.62,8.61,4.75,7.34,1535.58,42,4.38,5.52,37.09,98.76,75.21,1.26,642579.99,22500.81,28.56
서울도시가스(주),17390,Dec-21,128.31,1.03,10847.63,0.81,-1.74,0.27,-0.08,-94.76,13.73,0.63,0.79,84.24,60.2,197.27,1.24,851454.96,31922.59,26.67
파미셀(주),5690,Dec-21,127.31,18.73,0,23.8,37.38,14.44,34.81,81.49,46.09,18.69,15.54,0,46.61,266.7,0.83,773500.96,9346.46,82.76
성보화학(주),3080,Dec-21,127.28,0.99,10.9,2.28,7.94,-0.88,11.57,0,25.34,1.79,0.76,228.38,26.82,332.67,0.42,63161.36,4722.14,13.38
대성홀딩스(주),16710,Dec-21,124.87,3.19,221.71,41.56,-0.02,0.81,-48.14,-64.58,77.82,33.28,2.52,64.5,50.33,1294.9,0.08,855486.89,9174.26,93.25
현대자동차(주),5380,Dec-21,123.98,1.69,14.13,1.44,1.92,-0.97,9.76,22.5,16.3,1.16,1.22,161.17,51.42,116.4,1.05,57550540.08,3837005,15
한국항공우주산업(주),47810,Dec-21,118.97,6.11,9.01,1.57,13.31,3.45,-9.38,-58.85,12.13,1.32,2.65,58.03,349.68,131.38,2.01,3490786.14,209215.21,16.69
(주)포스코케미칼,3670,Dec-21,118.44,6.2,154.66,7.27,88.62,142.59,27.25,113.28,11.88,6.14,7.24,19.51,61.34,339.33,1.18,12166080.35,201330.06,60.43
율촌화학(주),8730,Dec-21,115.3,2.38,23.28,1.45,8.81,-1.19,2.81,-64.79,9.66,1.25,1.88,192.82,92.05,159.24,1.5,846529.97,41085.88,20.6
에스케이바이오팜(주),326030,Dec-21,114.36,27.93,0,27.95,38.13,30.85,622.48,0,93.94,24.44,26.94,0,35.74,409.17,1.1,7467101.11,149967.5,49.79
(주)카프로,6380,Dec-21,112.77,1.76,0,0.38,26.65,1.8,128.65,0,2.6,0.34,1.57,0,213.71,104.25,4.66,323841.73,12865.44,25.17
제일파마홀딩스(주),2620,Dec-21,111.56,1.01,0,35.85,-4.33,1.37,-30.02,-81.99,0,32.13,0.91,26.05,23.3,37.52,0.03,305731.86,4315.7,70.84
덕양산업(주),24900,Dec-21,110.12,3.43,6.87,0.12,4.6,14.72,6.5,0,2.33,0.11,2.99,0,785.86,88,28.06,120842.13,24182.1,5
에이프로젠제약(주),3060,Dec-21,108.18,1.16,98.15,16.39,1.51,1.33,6.97,0,12.93,15.15,1.07,0,2.13,3864.63,0.07,341459.18,-644.99,0
대성산업(주),128820,Dec-21,107.09,0.64,0,0.36,1.14,2.01,10.89,-91.59,9.24,0.34,0.59,0,97.58,98.62,1.75,488647.18,15971.77,30.59
(주)이수페타시스,7660,Dec-21,105.09,1.85,74.78,0.85,40.81,72.53,8.49,0,19.08,0.81,2.2,0,116.14,142.1,2.72,560153.45,52819.35,10.61
(주)덕성,4830,Dec-21,104.62,6.94,82.69,5.26,18.35,28.69,-0.6,75.43,13.72,5.03,7.38,13.71,46.33,208.39,1.47,279967.69,8187.34,34.2
(주)보락,2760,Dec-21,102.84,3.88,148.02,4.38,4.08,3.5,3.84,329.65,16.36,4.26,3.79,17.67,23.66,427.34,0.89,120005.03,3732.27,32.15
(주)조비,1550,Dec-21,102.23,3.57,0,2.24,18.12,4.01,14.86,-38.39,20.81,2.19,3.54,0,94.86,138.91,1.62,134031.18,4491.08,29.84
일진홀딩스(주),15860,Dec-21,101.87,1.93,108.35,55.97,0.05,-0.01,24.74,-18.29,0,54.95,1.84,148.79,8.98,38.58,0.03,290179.83,5691.96,50.98
(주)세우글로벌,13000,Dec-21,99.71,4.73,143.7,6.51,5.05,4.8,18,-31.75,15.16,6.52,4.8,0,9.82,952.17,0.74,36166.77,2776.76,13.02
삼성SDI(주),6400,Dec-21,97.69,4.96,61.6,5.03,10.21,6.91,27.25,174.51,19.56,5.15,5.14,11.22,40.46,129.24,1,45996375.34,1090226.47,42.19
(주)셀트리온,68270,Dec-21,93.34,19.77,66.99,33.27,11.17,16.91,-4.38,12,57.55,35.65,15.52,17.79,32.89,284.14,0.44,26777068.3,885223.14,30.25
코스모신소재(주),5070,Dec-21,92.61,8.16,64,5.45,-3.82,16.2,49.76,53.36,13.06,5.88,9.42,0,69.62,144.76,1.6,1456996.46,34833.76,41.83
엘에스전선아시아(주),229640,Dec-21,92.09,1.17,0,52.81,-0.67,-0.8,-81.04,-88.12,0,57.34,1.23,198.31,4.43,935.6,0.02,253411.15,3880.33,65.31
사조동아원(주),8040,Dec-21,91.33,1.19,0,0.6,2.54,2.3,5.96,-70.4,11.8,0.65,1.31,0,112.5,84.45,1.99,347638.1,31400,11.07
씨제이씨푸드(주),11150,Dec-21,89.17,2.94,18.01,1.21,-1.44,1.9,8.78,4.69,13.59,1.36,3.32,0,98.76,125.63,2.44,173171.27,10759.14,16.1
(주)대웅,3090,Dec-21,85.37,10.8,83.87,43.02,11.94,12.94,9.85,5.61,0,50.39,13,8.57,5.03,638.04,0.26,1798817.83,52841.25,34.04
흥아해운(주),3280,Dec-21,84.63,12.35,0,16.33,-12.91,0,-4.37,0,6.53,19.3,0,0,129.31,200.29,0,729816.64,9996.97,73
한전산업개발(주),130660,Dec-21,83.63,8.04,36.35,1.94,-1.06,0.16,-2.88,-47.11,10.02,2.32,8.81,88.79,92.53,149.81,3.79,388778.64,20300.84,19.15
디와이(주),13570,Dec-21,81.28,0.97,44.86,16.67,-0.11,0.13,-72.49,-37.33,0,20.51,1.15,121.41,1.05,928.08,0.06,162461.45,4068.94,39.93
한국공항(주),5430,Dec-21,79.69,0.65,11.56,0.56,-9.54,5.82,17.21,0,5.96,0.71,0.83,0,30.92,465.95,1.17,53930.05,20225.36,2.67
성신양회(주),4980,Dec-21,79.14,1.29,17.76,0.89,3.4,1.87,15.44,-36.86,19.35,1.13,1.56,77.68,136.3,70.96,1.39,711899,66041.53,10.78
(주)지누스,13890,Dec-21,78.99,5.04,22.61,5.33,13.63,0.26,63.56,-73.15,19.56,6.75,6.18,36.45,72.5,139.7,0.92,1201387.22,24928.77,48.19
(주)녹십자홀딩스,5250,Dec-21,78.21,4.43,78.83,37.73,-1.29,3.68,-6.16,-29.21,0,48.24,5.55,50.93,63.09,26.82,0.12,1609454.25,39275.57,40.98
디아이동일(주),1530,Dec-21,77.74,2.13,0,2.88,7.18,4.79,28.31,239.87,7.18,3.7,2.77,28.52,57.52,79.16,0.75,864355.97,13121.73,65.87
대원제약(주),3220,Dec-21,76.8,2.8,23.01,1.52,20.13,2.41,10.68,-61.52,51.66,1.98,3.15,61.22,84.85,208.26,1.59,419691.28,37671.74,11.14
일성건설(주),13360,Dec-21,76.64,4.02,35.07,1.03,26.84,21.02,22.11,73.43,10.47,1.35,5.6,28.85,244.92,127.77,4.15,426969.17,16812.51,25.4
성문전자(주),14910,Dec-21,76.41,2.23,65.79,2.34,37.14,3.51,39.34,0,11.29,3.06,2.93,12.01,57.63,433.87,0.96,55554.29,1314.43,42.26
에스케이바이오사이언스(주),302440,Dec-21,74.94,16.8,49.6,28.65,275.31,507.04,311.77,979.79,61.39,38.23,38.08,0,31.77,399.56,1,17220707.32,492995.16,34.93
코스맥스(주),192820,Dec-21,74.14,3.88,16.97,1.78,26.04,60.02,11.46,0,17.27,2.41,6.24,30.39,129.99,104.45,2.59,1272292.02,93797.21,13.56
(주)아모레퍼시픽,90430,Dec-21,73.93,4.61,42.19,5.96,8.03,6.96,15.19,168.18,67.49,8.06,6.13,24.15,11.96,331.31,0.76,10331704.47,514683.61,20.07
(주)종근당,185750,Dec-21,73.63,5.5,189.91,2.18,10.11,2.06,2.57,-55.55,36.89,2.95,7.11,28.51,81.71,213.17,2.41,1354883.6,119151.66,11.37
(주)보령,3850,Dec-21,72.92,5.37,27.67,3.33,25.57,33.91,9.78,0.27,41.75,4.56,6.73,24.29,75.06,287.47,1.47,1071878.16,81024.67,13.23
동아에스티(주),170900,Dec-21,71.26,1.39,17.61,1.45,13.24,2.07,0.6,-56.72,49.59,2.03,1.83,70.53,69.03,191.27,0.9,713823.3,35340.54,20.2
(주)더존비즈온,12510,Dec-21,70.94,8.53,55.77,11.79,12.13,25.16,3.49,-3,44.48,16.62,11.82,31.63,81.89,53.39,0.71,2453692.76,98638.58,24.88
텔코웨어(주),78000,Dec-21,70.64,1.3,13.13,3.72,-0.73,-0.55,-4.34,-3.69,40.26,5.27,1.67,153.43,11.69,705.91,0.32,86647.19,2449.54,35.37
(주)와이지플러스,37270,Dec-21,70.05,6.06,143.99,5.74,55.67,40.39,70.89,0,19.29,8.19,9.77,0,36.66,218.12,1.19,509849.21,7300.85,69.83
(주)동양,1520,Dec-21,69.88,0.85,26.11,1.27,5.21,0.51,18.66,0,9.84,1.81,1.21,83.99,22.31,172.36,0.67,366429.91,19971.92,18.35
(주)한샘,9240,Dec-21,69.04,6.18,189.05,1.98,2.71,1.95,2.87,1.81,30.15,2.86,8.6,38.39,81.21,116.22,3,2312826.98,127033.72,18.21
(주)아모레퍼시픽그룹,2790,Dec-21,68.87,3.89,318.68,214.36,5.7,4.48,-31.11,0,0,311.25,5.65,37.34,4.08,914.78,0.02,3857990.53,12601.76,306.15
현대오토에버(주),307950,Dec-21,67.95,4.19,26.74,2.48,131.34,153.68,40.91,19.74,11.14,3.64,6.68,31.28,63.94,213.11,1.83,3886458.89,141602,27.45
(주)대웅제약,69620,Dec-21,67,5.21,50.02,2.27,6.14,6.64,11.69,1040.42,46.15,3.39,6.01,18.55,105.07,84.95,1.77,2120225.7,128424.67,16.51
(주)케이씨씨,2380,Dec-21,66.74,0.85,40.15,1.85,0.51,0.54,10.36,-91,19.91,2.78,1.26,72.35,74.34,99.36,0.45,5241768.11,230326.91,22.76
한국타이어앤테크놀로지(주),161390,Dec-21,66.32,1.55,62.76,2.44,2.97,0.82,1.85,22.95,18.45,3.68,2.29,79.51,40.57,192.85,0.62,6117955.97,40866.07,149.71
(주)엔씨소프트,36570,Dec-21,65.29,7.64,61.4,10.81,12.99,-1.07,-5.04,-43.85,0,16.55,11.12,33.77,42.46,382.06,0.67,14765865.66,412057.12,35.83
인지컨트롤스(주),23800,Dec-21,65.11,2.44,32.11,1.34,3.07,5.54,6.41,0,9.73,2.06,3.74,32.3,98.72,66.84,1.82,331465.43,17810.68,18.61
(주)모나리자,12690,Dec-21,64.91,2.84,19.41,1.99,2.9,5.65,-9.16,-58.73,23.42,3.07,4.46,0,24.89,190.63,1.45,138669.56,8394.34,16.52
(주)오리온,271560,Dec-21,61.49,6.94,39.37,7.03,5.11,7.46,4.96,21.95,44.9,11.43,11,32.13,45.99,82.65,0.96,4280755.87,176755.65,24.22
(주)크라운해태홀딩스,5740,Dec-21,60.57,0.71,37.48,12.57,-0.14,0.75,-0.5,-86.76,0,20.75,1.16,43.19,18.99,3.47,0.06,181316.48,5549.53,32.67
(주)풍산홀딩스,5810,Dec-21,60.52,1.24,1045.85,4.54,-0.05,-0.23,23.9,131.75,18.29,7.51,1.97,161.94,11.83,335.92,0.26,284927.89,14419.47,19.76
(주)풀무원,17810,Dec-21,59.32,2.15,32.92,9.05,3.41,-0.57,7.31,22.2,99.28,15.25,3.53,28.99,33.8,88.56,0.23,780271.46,31243.56,24.97
한국조선해양(주),9540,Dec-21,58.91,1.08,160.86,59.09,1.93,2.15,13.61,0,36.08,100.3,1.84,0,3.08,831.86,0.02,5262530.45,33645.32,156.41
만호제강(주),1080,Jun-21,58.71,0.55,11.15,0.65,4.01,0.89,-0.24,30.25,9.02,1.11,0.93,28.27,10.68,717.54,0.84,76241.03,3679.42,20.72
깨끗한나라(주),4540,Dec-21,57.09,1.63,12.89,0.61,5.91,5,-2.29,-83,16.37,1.06,2.86,0,166.13,79.45,2.69,394805.47,42989.99,9.18
동양피스톤(주),92780,Dec-21,56.1,1.53,9.68,0.53,3.67,7.23,10.79,117.16,8.3,0.95,2.79,28.17,175.76,96.46,2.93,191991.13,13745.92,13.97
(주)동아지질,28100,Dec-21,55.6,1.39,8.79,0.95,4.79,6.93,-8,110.12,5.27,1.71,2.51,97.66,71.21,165.72,1.46,167752.08,22846.99,7.34
삼성에스디에스(주),18260,Dec-21,54.21,3.34,32.71,3.56,5.23,1.77,9.59,22.88,20.38,6.57,5.89,56.67,22.02,427.92,0.9,12006031.76,693982.54,17.3
