회사명,거래소코드,회계년도,거래대금(원),거래량(주),종가(원),산업코드,산업명
(주)BNK금융지주,138930,2021/12,2385611832,27519531,8400,116502,  은행업
(주)DB하이텍,000990,2021/12,12367698803,17663587,72700,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)HJ중공업,097230,2021/12,72192692,907983,8040,064102,  종합 건설업
(주)JB금융지주,175330,2021/12,790011396,9310259,8350,116502,  은행업
(주)KB금융지주,105560,2021/12,12266743452,21641792,55000,116502,  은행업
(주)MH에탄올,023150,2021/12,102709748,1015092,10200,031101,  음료 제조업
(주)SH에너지화학,002360,2021/12,698277234,69223197,973,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)SIMPAC,009160,2021/12,254486342,3754077,6410,032902,  기타 기계 및 장비 제조업
(주)SNT에너지,100840,2021/12,62466613,332710,18550,032901,  기타 기계 및 장비 제조업
(주)SNT홀딩스,036530,2021/12,21472437,122812,17600,137105,  전문 서비스업
(주)STX,011810,2021/12,209229336,4976120,4100,074608,  도매 및 상품 중개업
(주)TCC스틸,002710,2021/12,940004242,11175775,9680,032401,  1차 금속 제조업
(주)강원랜드,035250,2021/12,3425745218,14358184,24050,189102,  스포츠 및 오락관련 서비스업
(주)갤럭시아에스엠,011420,2021/12,3018076113,98363085,3055,189101,  스포츠 및 오락관련 서비스업
(주)경농,002100,2021/12,78126457,675697,12250,032003,  화학물질 및 화학제품 제조업; 의약품 제외
(주)경동나비엔,009450,2021/12,315902091,582014,54900,032805,  전기장비 제조업
(주)경동도시가스,267290,2021/12,189702664,786087,22600,043502,"  전기, 가스, 증기 및 공기조절 공급업"
(주)경동인베스트,012320,2021/12,8731638,25165,35350,137105,  전문 서비스업
(주)경방,000050,2021/12,30561246,225266,13750,074701,  소매업; 자동차 제외
(주)경보제약,214390,2021/12,936070766,8609799,10750,032101,  의료용 물질 및 의약품 제조업
(주)경인양행,012610,2021/12,693460653,10223429,6940,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)광명전기,017040,2021/12,158289340,6306054,2570,032801,  전기장비 제조업
(주)광주신세계,037710,2021/12,49291030,27900,181000,074701,  소매업; 자동차 제외
(주)국동,005320,2021/12,1809790550,57440174,2735,074604,  도매 및 상품 중개업
(주)국보,001140,2021/12,567120632,33453097,1570,084903,  육상운송 및 파이프라인 운송업
(주)금비,008870,2021/09,16028859,21964,71100,032301,  비금속 광물제품 제조업
(주)금양,001570,2021/12,334303857,6931689,4905,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)금호에이치티,214330,2021/12,1089237628,48982698,2115,033003,  자동차 및 트레일러 제조업
(주)까뮤이앤씨,013700,2021/12,1829552313,71887642,2850,064101,  종합 건설업
(주)나이스홀딩스,034310,2021/12,237462864,1457978,16000,137105,  전문 서비스업
(주)남선알미늄,008350,2021/12,531354811,21381916,2485,032402,  1차 금속 제조업
(주)남성,004270,2021/12,194020769,6126444,3135,074607,  도매 및 상품 중개업
(주)넥센,005720,2021/12,48841920,1076831,4560,032201,  고무 및 플라스틱제품 제조업
(주)노루페인트,090350,2021/12,4513386536,33540250,14900,032004,  화학물질 및 화학제품 제조업; 의약품 제외
(주)노루홀딩스,000320,2021/12,87802686,694390,12750,137105,  전문 서비스업
(주)녹십자,006280,2021/12,2387873725,1054999,218000,032102,  의료용 물질 및 의약품 제조업
(주)녹십자홀딩스,005250,2021/12,480607462,1786496,27150,137105,  전문 서비스업
(주)농심,004370,2021/12,1739932540,567101,318500,031007,  식료품 제조업
(주)농심홀딩스,072710,2021/12,50543627,66116,75800,137105,  전문 서비스업
(주)다우기술,023590,2021/12,395329343,1740923,22800,106301,  정보서비스업
(주)다이나믹디자인,145210,2021/12,886354161,142669405,499,032902,  기타 기계 및 장비 제조업
(주)대교,019680,2021/12,38435574,997923,3895,168501,  교육 서비스업
(주)대구백화점,006370,2021/12,32626992,294813,11650,074701,  소매업; 자동차 제외
(주)대덕,008060,2021/12,569306166,7134118,8060,137105,  전문 서비스업
(주)대동,000490,2021/12,333254189,3395205,10100,032902,  기타 기계 및 장비 제조업
(주)대양금속,009190,2021/12,293794528,6046890,4880,032401,  1차 금속 제조업
(주)대우건설,047040,2021/12,1585366822,26703716,5770,064101,  종합 건설업
(주)대웅,003090,2021/12,493393171,1557916,31050,137105,  전문 서비스업
(주)대웅제약,069620,2021/12,1226199061,833571,148000,032102,  의료용 물질 및 의약품 제조업
(주)대유에이텍,002880,2021/12,547015826,41837828,1295,033003,  자동차 및 트레일러 제조업
(주)대유플러스,000300,2021/12,720268903,53398129,1315,032604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)대창,012800,2021/12,344840598,18961877,1820,032402,  1차 금속 제조업
(주)대한항공,003490,2021/12,8845978873,30561038,29350,085101,  항공 운송업
(주)대현,016090,2021/12,93582613,4252503,2290,031401,"  의복, 의복 액세서리 및 모피제품 제조업"
(주)대호에이엘,069460,2021/12,131427382,3718762,3385,032402,  1차 금속 제조업
(주)더블유게임즈,192080,2021/12,1885233572,3241841,57900,105802,  출판업
(주)더존비즈온,012510,2021/12,1244756869,1649407,73000,106201,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업"
(주)덕성,004830,2021/12,2257208408,13608296,15100,032202,  고무 및 플라스틱제품 제조업
(주)덴티움,145720,2021/12,1247450165,1901950,69800,032701,"  의료, 정밀, 광학기기 및 시계 제조업"
(주)도화엔지니어링,002150,2021/12,47549946,617754,7650,137201,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업"
(주)동남합성,023450,2021/12,39700553,61932,63600,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)동방,004140,2021/12,2809729800,66681197,4025,085209,  창고 및 운송관련 서비스업
(주)동방아그로,007590,2021/12,247829015,3158805,7270,032003,  화학물질 및 화학제품 제조업; 의약품 제외
(주)동서,026960,2021/12,1211107232,4029111,31000,074603,  도매 및 상품 중개업
(주)동성케미컬,102260,2021/12,143832311,2925098,4795,137105,  전문 서비스업
(주)동아지질,028100,2021/12,306566066,1714699,18300,064201,  전문직별 공사업
(주)동양,001520,2021/12,339351467,22467213,1465,032303,  비금속 광물제품 제조업
(주)동양고속,084670,2021/12,13788779,78623,17250,084902,  육상운송 및 파이프라인 운송업
(주)동원에프앤비,049770,2021/12,143799520,74362,194500,031007,  식료품 제조업
(주)두산,000150,2021/12,1830975560,1585865,118000,137105,  전문 서비스업
(주)두올,016740,2021/12,318992395,7648385,4315,033003,  자동차 및 트레일러 제조업
(주)드림텍,192650,2021/12,914332482,8419618,12100,032602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)디비아이엔씨,012030,2021/12,133104462,14224241,950,106201,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업"
(주)디아이,003160,2021/12,1080241701,12445681,9360,032702,"  의료, 정밀, 광학기기 및 시계 제조업"
(주)디아이씨,092200,2021/12,1726515658,32929143,5570,033003,  자동차 및 트레일러 제조업
(주)디알비동일,004840,2021/12,12160217,240267,5260,032201,  고무 및 플라스틱제품 제조업
(주)디엔오토모티브,007340,2021/12,590460779,910806,71800,032802,  전기장비 제조업
(주)디지비금융지주,139130,2021/12,911517822,9472496,9380,116502,  은행업
(주)락앤락,115390,2021/12,443965990,4033695,11600,032202,  고무 및 플라스틱제품 제조업
(주)마니커,027740,2021/12,207309119,17285862,1160,031001,  식료품 제조업
(주)만도,204320,2021/12,3997940583,6728394,63400,033003,  자동차 및 트레일러 제조업
(주)메리츠금융지주,138040,2021/12,3150398970,8592734,44000,116502,  은행업
(주)메타랩스,090370,2021/12,29917234,3211438,939,031401,"  의복, 의복 액세서리 및 모피제품 제조업"
(주)모나리자,012690,2021/12,54205231,1439252,3885,031709,"  펄프, 종이 및 종이제품 제조업"
(주)모나미,005360,2021/12,281524664,6115515,4625,074604,  도매 및 상품 중개업
(주)모토닉,009680,2021/12,100223949,942283,10600,033003,  자동차 및 트레일러 제조업
(주)무학,033920,2021/12,55118082,651385,8350,031101,  음료 제조업
(주)미래아이앤지,007120,2021/12,71582610,15624731,470,106201,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업"
(주)방림,003610,2021/09,800967480,27858379,2600,031302,  섬유제품 제조업; 의복제외
(주)백산,035150,2021/12,351922511,4399071,8230,032202,  고무 및 플라스틱제품 제조업
(주)벽산,007210,2021/12,865715308,23885304,3915,032309,  비금속 광물제품 제조업
(주)보락,002760,2021/12,165238007,8239439,1980,032004,  화학물질 및 화학제품 제조업; 의약품 제외
(주)보령,003850,2021/12,2278286524,14371638,14600,032102,  의료용 물질 및 의약품 제조업
(주)비비안,002070,2021/12,121835463,4119323,2965,031401,"  의복, 의복 액세서리 및 모피제품 제조업"
(주)비상교육,100220,2021/12,117476109,1472995,7800,105801,  출판업
(주)비와이씨,001460,2021/12,291872725,59051,450500,031401,"  의복, 의복 액세서리 및 모피제품 제조업"
(주)비지에프,027410,2021/12,135546272,2619390,5290,137105,  전문 서비스업
(주)비지에프리테일,282330,2021/12,811938632,544866,145500,074701,  소매업; 자동차 제외
(주)빙그레,005180,2021/12,182826519,351202,53200,031005,  식료품 제조업
(주)사조대림,003960,2021/12,290711878,1128530,25250,031002,  식료품 제조업
(주)사조오양,006090,2021/12,21637182,236733,9330,031002,  식료품 제조업
(주)삼성출판사,068290,2021/12,589628248,1726816,33150,105801,  출판업
(주)삼양사,145990,2021/12,204049659,324085,62700,031007,  식료품 제조업
(주)삼양패키징,272550,2021/12,102902894,418547,25000,032202,  고무 및 플라스틱제품 제조업
(주)삼양홀딩스,000070,2021/12,371357239,373687,98200,137105,  전문 서비스업
(주)삼원강재,023000,2021/12,34515797,1090795,3165,033003,  자동차 및 트레일러 제조업
(주)삼익악기,002450,2021/12,205597528,11469773,1825,033302,  기타 제품 제조업
(주)삼일씨엔에스,004440,2021/12,32402561,351678,9250,032303,  비금속 광물제품 제조업
(주)삼천리,004690,2021/12,88687426,100198,90800,043502,"  전기, 가스, 증기 및 공기조절 공급업"
(주)상상인증권,001290,2021/12,67034051,5799359,1165,116701,  증권업
(주)서연,007860,2021/12,1687191063,12213066,12300,137105,  전문 서비스업
(주)서연이화,200880,2021/12,264742414,3699058,7050,033003,  자동차 및 트레일러 제조업
(주)서원,021050,2021/12,79094905,4143604,1945,032403,  1차 금속 제조업
(주)서흥,008490,2021/12,120094774,282669,44200,032004,  화학물질 및 화학제품 제조업; 의약품 제외
(주)선앤엘,002820,2021/12,10383248,217682,5000,031602,  목재 및 나무제품 제조업; 가구 제외
(주)선진,136490,2021/12,283120657,2548032,11500,031008,  식료품 제조업
(주)성안,011300,2021/12,0,0,787,031302,  섬유제품 제조업; 의복제외
(주)세아베스틸지주,001430,2021/12,319239964,1574936,19900,032401,  1차 금속 제조업
(주)세아제강,306200,2021/12,89167018,91901,95600,032401,  1차 금속 제조업
(주)세아제강지주,003030,2021/12,260678137,244430,103000,137105,  전문 서비스업
(주)세아특수강,019440,2021/12,20832269,129705,15750,032401,  1차 금속 제조업
(주)세아홀딩스,058650,2021/12,14516810,14147,104500,032401,  1차 금속 제조업
(주)세우글로벌,013000,2021/12,129031538,7364365,1725,074607,  도매 및 상품 중개업
(주)세원정공,021820,2022,,,,,
(주)세이브존아이앤씨,067830,2021/12,13845236,479857,2985,074701,  소매업; 자동차 제외
(주)세진중공업,075580,2021/12,150778229,2636258,5900,033101,  기타 운송장비 제조업
(주)센트랄모텍,308170,2021/12,521864156,2268572,22500,033003,  자동차 및 트레일러 제조업
(주)센트럴인사이트,012600,2021/12,0,0,2490,032901,  기타 기계 및 장비 제조업
(주)셀트리온,068270,2021/12,31168319795,15104326,198000,032101,  의료용 물질 및 의약품 제조업
(주)솔루엠,248070,2021/12,1989244536,8792336,22450,032602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)수산인더스트리,126720,2022,,,,,
(주)수산중공업,017550,2021/12,1129446812,39279443,2935,032902,  기타 기계 및 장비 제조업
(주)시디즈,134790,2021/12,31043283,51148,61300,033201,  가구 제조업
(주)신도리코,029530,2021/12,80237986,243225,33050,032603,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)신성이엔지,011930,2021/12,2776193505,126813317,2145,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)신세계,004170,2021/12,4080733605,1681864,254000,074701,  소매업; 자동차 제외
(주)신세계아이앤씨,035510,2021/12,351222970,187951,198500,106201,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업"
(주)신세계인터내셔날,031430,2021/12,657877980,448340,145500,074704,  소매업; 자동차 제외
(주)신세계푸드,031440,2021/12,102146695,122672,81900,095601,  음식점 및 주점업
(주)신영와코루,005800,2021/12,13591095,11666,118500,031401,"  의복, 의복 액세서리 및 모피제품 제조업"
(주)신원,009270,2021/12,5049167029,181720053,2920,031401,"  의복, 의복 액세서리 및 모피제품 제조업"
(주)신한금융지주회사,055550,2021/12,10248015353,27523279,36800,116502,  은행업
(주)신화다이나믹스,001770,2021/12,35365695,125220,29950,032401,  1차 금속 제조업
(주)신흥,004080,2021/12,20702352,129419,16150,074605,  도매 및 상품 중개업
(주)쌍방울,102280,2021/12,5608558696,631375322,810,031401,"  의복, 의복 액세서리 및 모피제품 제조업"
(주)쎌마테라퓨틱스,015540,2021/12,0,0,6410,147509,  사업지원 서비스업
(주)씨아이테크,004920,2021/12,838023060,58169271,1525,033309,  기타 제품 제조업
(주)아모레퍼시픽,090430,2021/12,7813726178,4470400,167000,032004,  화학물질 및 화학제품 제조업; 의약품 제외
(주)아모레퍼시픽그룹,002790,2021/12,1020002709,2269333,44350,032004,  화학물질 및 화학제품 제조업; 의약품 제외
(주)아센디오,012170,2021/12,157832828,11388975,1370,105901,  영상ㆍ오디오 기록물 제작 및 배급업
(주)아이마켓코리아,122900,2021/12,250348792,2292049,10700,074608,  도매 및 상품 중개업
(주)아이에이치큐,003560,2021/12,321520585,21782453,1475,105901,  영상ㆍ오디오 기록물 제작 및 배급업
(주)알루코,001780,2021/12,192341283,5671250,3410,032402,  1차 금속 제조업
(주)에넥스,011090,2021/12,684238928,25859317,2625,033201,  가구 제조업
(주)에스비에스,034120,2021/12,827628492,1774944,49350,106002,  방송업
(주)에스엠벡셀,010580,2021/12,0,0,1530,033003,  자동차 및 트레일러 제조업
(주)에스원,012750,2021/12,794903051,1062366,73900,147503,  사업지원 서비스업
(주)에스제이엠,123700,2021/12,31283234,677462,4900,033003,  자동차 및 트레일러 제조업
(주)에스제이엠홀딩스,025530,2021/12,12663211,354416,3735,074502,  자동차 및 부품 판매업
(주)에스지글로벌,001380,2021/12,72980530,4057517,1830,033003,  자동차 및 트레일러 제조업
(주)에스지세계물산,004060,2021/12,222650743,32157540,684,074608,  도매 및 상품 중개업
(주)에스피씨삼립,005610,2021/12,135862735,192265,70800,031007,  식료품 제조업
(주)에이블씨엔씨,078520,2021/12,44269942,706391,6520,032004,  화학물질 및 화학제품 제조업; 의약품 제외
(주)에이엔피,015260,2021/12,138923084,6568876,2185,032602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)에이프로젠메디신,007460,2021/12,556047182,36311529,1685,032509,  금속가공제품 제조업; 기계 및 가구 제외
(주)에이플러스에셋어드바이저,244920,2021/12,473505474,5233456,8850,147509,  사업지원 서비스업
(주)에프앤에프,383220,2021/12,8043109580,904588,945000,031401,"  의복, 의복 액세서리 및 모피제품 제조업"
(주)에프앤에프홀딩스,007700,2021/12,911724862,2590388,33300,137105,  전문 서비스업
(주)엔씨소프트,036570,2021/12,27914419336,4013708,643000,105802,  출판업
(주)엔아이스틸,008260,2021/12,45807929,1385449,3375,032401,  1차 금속 제조업
(주)엔케이,085310,2021/12,60282867,5852993,1045,032501,  금속가공제품 제조업; 기계 및 가구 제외
(주)엘에스,006260,2021/12,951672950,1794068,54100,137105,  전문 서비스업
(주)엘에스네트웍스,000680,2021/12,26033949,886647,3010,074608,  도매 및 상품 중개업
(주)엘에프,093050,2021/12,222271557,1286975,17250,031401,"  의복, 의복 액세서리 및 모피제품 제조업"
(주)엘엑스인터내셔널,001120,2021/12,1651160964,6347936,26450,074601,  도매 및 상품 중개업
(주)엘엑스하우시스,108670,2021/12,1004332337,1627972,61500,032202,  고무 및 플라스틱제품 제조업
(주)엘엑스홀딩스,383800,2021/12,2150927276,21423797,10000,137105,  전문 서비스업
(주)엘지,003550,2021/12,14818316015,18259664,80900,137105,  전문 서비스업
(주)엘지생활건강,051900,2021/12,10728550896,939015,1097000,032004,  화학물질 및 화학제품 제조업; 의약품 제외
(주)엘지에너지솔루션,373220,2022,,,,,
(주)엘지유플러스,032640,2021/12,3234174147,23295933,13600,106102,  우편 및 통신업
(주)엘지헬로비전,037560,2021/12,256963462,4584348,5560,106002,  방송업
(주)엘지화학,051910,2021/12,43644754065,6388744,615000,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)엠씨넥스,097520,2021/12,5570943535,10550435,57500,032605,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)영원무역,111770,2021/12,1168746836,2693148,43650,074608,  도매 및 상품 중개업
(주)영원무역홀딩스,009970,2021/12,102050052,211280,46750,137105,  전문 서비스업
(주)영풍,000670,2021/12,148015790,22497,655000,032402,  1차 금속 제조업
(주)영흥,012160,2021/12,81210903,7741285,1055,032401,  1차 금속 제조업
(주)예스코홀딩스,015360,2021/12,12060023,32613,35800,137105,  전문 서비스업
(주)오뚜기,007310,2021/12,371575655,80668,456000,031007,  식료품 제조업
(주)오리엔트바이오,002630,2022/03,138693855,14908821,925,032102,  의료용 물질 및 의약품 제조업
(주)오리온,271560,2021/12,2330070879,2222288,103500,031007,  식료품 제조업
(주)오리온홀딩스,001800,2021/12,395289405,2473970,15950,137105,  전문 서비스업
(주)와이지플러스,037270,2021/12,1600208269,19616566,7980,106301,  정보서비스업
(주)와이투솔루션,011690,2021/12,0,0,2440,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)용평리조트,070960,2021/12,122055424,2522470,4895,095501,  숙박업
(주)우리금융지주,316140,2021/12,5720675754,43878989,12700,116502,  은행업
(주)우성,006980,2021/12,39490376,146389,28000,031006,  식료품 제조업
(주)우신시스템,017370,2021/12,712939797,16141196,4095,032902,  기타 기계 및 장비 제조업
(주)우진,105840,2021/12,595745420,7240425,8240,032702,"  의료, 정밀, 광학기기 및 시계 제조업"
(주)우진아이엔에스,010400,2021/12,9143018,131734,7120,064202,  전문직별 공사업
(주)우진플라임,049800,2021/12,104114082,2355674,4570,032902,  기타 기계 및 장비 제조업
(주)웅진,016880,2021/12,174849412,9481477,1710,137105,  전문 서비스업
(주)웅진씽크빅,095720,2021/12,188552619,5970218,3175,168501,  교육 서비스업
(주)원림,005820,2021/12,10628072,56542,19300,031302,  섬유제품 제조업; 의복제외
(주)위스컴,024070,2021/12,96704325,2690246,3450,032202,  고무 및 플라스틱제품 제조업
(주)윌비스,008600,2021/12,297069039,17633931,1685,074604,  도매 및 상품 중개업
(주)유니드,014830,2021/12,963737549,937301,100500,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)유니온,000910,2021/12,2626945031,34752228,7540,032303,  비금속 광물제품 제조업
(주)유니켐,011330,2021/12,54457246,4329836,1290,031501,"  가죽, 가방 및 신발 제조업"
(주)유수홀딩스,000700,2021/12,136720690,2101140,6300,137105,  전문 서비스업
(주)유유제약,000220,2021/12,5263265878,61913847,7810,032102,  의료용 물질 및 의약품 제조업
(주)유한양행,000100,2021/12,3222587281,5066754,62100,032102,  의료용 물질 및 의약품 제조업
(주)이노션,214320,2021/12,951037156,1749014,55400,137103,  전문 서비스업
(주)이마트,139480,2021/12,2776033975,1836651,151000,074701,  소매업; 자동차 제외
(주)이수페타시스,007660,2021/12,4128294842,70931371,7310,032602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)이수화학,005950,2021/12,2327615692,14860772,14550,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)이스타코,015020,2021/12,436205049,14776547,3110,126801,  부동산업
(주)이아이디,093230,2021/12,889301554,283644478,302,074607,  도매 및 상품 중개업
(주)이엔플러스,074610,2021/12,5161669418,113934191,4790,032901,  기타 기계 및 장비 제조업
(주)이원,017940,2021/12,122449748,253673,48200,074607,  도매 및 상품 중개업
(주)이월드,084680,2021/12,4866648194,176523950,2680,033301,  기타 제품 제조업
(주)인디에프,014990,2021/12,71932718,5538713,1310,031401,"  의복, 의복 액세서리 및 모피제품 제조업"
(주)인바이오젠,101140,2021/12,1154842365,28890732,3560,074604,  도매 및 상품 중개업
(주)인스코비,006490,2021/12,600896756,18593681,3160,106102,  우편 및 통신업
(주)인팩,023810,2021/12,238245939,1941168,13150,033003,  자동차 및 트레일러 제조업
(주)일신석재,007110,2021/12,435677135,20184586,2250,074606,  도매 및 상품 중개업
(주)잇츠한불,226320,2021/12,69096010,393510,17700,032004,  화학물질 및 화학제품 제조업; 의약품 제외
(주)제이에스코퍼레이션,194370,2021/12,375245860,1799584,21400,031501,"  가죽, 가방 및 신발 제조업"
(주)제일기획,030000,2021/12,1327278900,5811264,22850,137103,  전문 서비스업
(주)제주은행,006220,2021/12,1130608102,17192847,6130,116501,  은행업
(주)제주항공,089590,2021/12,443764916,2625487,17600,085101,  항공 운송업
(주)조비,001550,2021/12,129486237,638006,21050,032003,  화학물질 및 화학제품 제조업; 의약품 제외
(주)조흥,002600,2021/12,5355720,2827,188000,031007,  식료품 제조업
(주)종근당,185750,2021/12,1073537370,926235,111000,032102,  의료용 물질 및 의약품 제조업
(주)종근당바이오,063160,2021/12,739697982,1735374,41800,032102,  의료용 물질 및 의약품 제조업
(주)종근당홀딩스,001630,2021/12,145462347,192255,76500,032102,  의료용 물질 및 의약품 제조업
(주)주연테크,044380,2021/12,2411421541,164886217,1300,032603,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)지누스,013890,2021/12,1057559508,1360052,77100,033201,  가구 제조업
(주)지에스,078930,2021/12,1713928302,4290505,39100,137105,  전문 서비스업
(주)지에스글로벌,001250,2021/12,169637322,7363557,2370,074608,  도매 및 상품 중개업
(주)지에스리테일,007070,2021/12,1395757739,4579497,30400,074701,  소매업; 자동차 제외
(주)지투알,035000,2021/12,120552913,1706874,7050,137105,  전문 서비스업
(주)진도,088790,2021/12,23143639,831365,2820,074607,  도매 및 상품 중개업
(주)진양홀딩스,100250,2021/12,222310668,5879547,3665,032202,  고무 및 플라스틱제품 제조업
(주)진에어,272450,2021/12,704417585,4334597,16700,085101,  항공 운송업
(주)천일고속,000650,2021/12,9718657,14523,67300,084902,  육상운송 및 파이프라인 운송업
(주)체시스,033250,2022,,,,,
(주)초록뱀헬스케어,118000,2021/12,133030727,8950466,1505,074605,  도매 및 상품 중개업
(주)카카오,035720,2021/12,40547646433,34418041,112500,106301,  정보서비스업
(주)카카오뱅크,323410,2021/12,26408808483,41534043,59000,116501,  은행업
(주)카카오페이,377300,2021/12,26590014385,13646290,174500,147509,  사업지원 서비스업
(주)카프로,006380,2021/12,1623438528,35237700,4790,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)케이씨,029460,2021/12,232333368,1069310,22850,032702,"  의료, 정밀, 광학기기 및 시계 제조업"
(주)케이씨씨,002380,2021/12,2742778520,878980,315000,032004,  화학물질 및 화학제품 제조업; 의약품 제외
(주)케이씨씨글라스,344820,2021/12,644230170,1094057,59900,032301,  비금속 광물제품 제조업
(주)케이씨텍,281820,2021/12,590460411,2461083,24050,032702,"  의료, 정밀, 광학기기 및 시계 제조업"
(주)케이씨티시,009070,2021/12,609305087,9567862,6220,084903,  육상운송 및 파이프라인 운송업
(주)케이에스에스해운,044450,2021/12,117658217,1008583,11850,085001,  수상 운송업
(주)케이에이치필룩스,033180,2021/12,445687869,16963006,2615,032602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)케이이씨,092220,2021/12,9872632878,267623786,3710,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)케이티,030200,2021/12,7182036078,22787117,30600,106102,  우편 및 통신업
(주)케이티스카이라이프,053210,2021/12,177807776,1917793,9140,106002,  방송업
(주)케이티씨에스,058850,2021/12,55440430,2197529,2585,106309,  정보서비스업
(주)케이티아이에스,058860,2021/12,32736510,1325357,2540,106309,  정보서비스업
(주)케이티앤지,033780,2021/12,10933289624,13033637,79000,031201,  담배 제조업
(주)코리아써키트,007810,2021/12,5727423320,22165904,31200,032602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)코아스,071950,2021/12,76911912,6605154,1115,033201,  가구 제조업
(주)코오롱,002020,2021/12,421854572,1330962,33050,137105,  전문 서비스업
