,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),유동부채비율,매출액순이익률,CASH FLOW 대 매출액비율,CASH FLOW 대 부채비율,이자보상배율(이자비용),금융비용 대 총비용비율,설비투자효율,CASH FLOW 대 총자본비율,자본금회전률,총자본투자효율,총자본회전률,자기자본순이익률,매출채권회전률,유형자산회전율,부채비율,유동비율,자기자본배율,당좌비율,순운전자본비율,현금비율,타인자본회전률,총자본순이익률,매출액(수익)(*),매출액총이익률,매출원가 대 매출액비율,차입금의존도,재고자산회전률,총자산부채비율,현금비율(CASHTA),유보이익대총자산비율,판매관리비대매출액,고정비율,log총자산,총자본증가율,유동자산증가율,매출액증가율,총자산영업이익률,순이익률,이자비용/부채,영업이익증가율,순이익증가율
45,(주)비엔씨컴퍼니,58370,14-Dec,도매 및 소매업,48.8,-44.25,-41.75,-75.58,-6.8,1.42,-4747.52,-25.31,0.76,-19.55,0.64,-54.85,2.82,82.65,50.33,163.24,63.45,141.08,20.53,3.62,1.32,-28.32,12126111,4.78,95.22,14.64,10.13,0.334813587,0.011765641,-0.895718352,0.294346143,0.70676584,7.301185315,112.6492089,27.78031636,-34.56895223,-0.157821135,-0.5857064,0.023209143,7.491258043,12.04274289
47,(주)엠제이비,74150,14-Dec,건설업,88.59,255.68,-224.38,-36.61,-1.58,0,3986.75,-18.01,0.63,22.6,0.12,57.66,2.54,15.75,96.89,191.18,267.04,191.13,41.03,8.89,0.27,31.45,5744391,23.1,76.9,10.17,220.03,0.49209509,0.0400076,-0.046244065,0.340674756,0.275129204,7.854610579,148.8117985,193.3262645,-55.80879064,-0.013492149,0.691920618,0.008560116,-221.9467256,218.3202025
49,(주)위메이드맥스,101730,14-Dec,정보통신업,8.25,-13.02,27.41,94.09,999999999,-3.7,423.36,7.75,7.85,18.24,0.27,-4.49,4.02,6.47,8.98,699.82,2189.78,699.82,45.42,291.78,3.15,-3.49,30518476,0,0,0,0,0.082362465,0.220949853,0.499459254,1.154416492,0.512257822,8.033270849,-9.208138828,-22.15903891,-40.67991482,-0.041418184,-0.41020956,0,-126.0308466,-127.1397281
51,(주)제넨바이오,72520,14-Dec,도매 및 소매업,270.34,-25.47,-1.59,-3.05,-19.09,0.77,-4.06,-2.27,35.59,-2.36,1.24,-89.1,6.76,2.51,288.63,55,643.63,39.29,-31.3,3.37,1.91,-31.47,133468551,-11.64,111.64,44.34,10.39,0.742688891,0.023457877,-0.077268147,0.116203464,2.399516022,7.972210557,-53.73904858,-47.50504665,-42.56122646,-0.287402012,-0.486605559,0.015054666,-641.6652194,-1487.097733
53,(주)피에이치씨,57880,14-Dec,도매 및 소매업,45.1,-248.44,-26.45,-23.48,-53.26,0.27,-237.44,-7.73,2.35,-60.97,0.21,-71.17,0.93,0.98,49.13,225.69,543.59,145.86,38.01,25.15,0.8,-52.7,15538682,-77.8,177.8,22.21,0.88,0.329458612,0.076065394,-0.074365414,0.986513721,0.473462675,7.725378568,-50.42982862,-48.64792083,-50.11825929,-0.374290589,-1.979636257,0.007027649,-589.2514008,-1183.658074
55,더이앤엠(주),89230,14-Dec,정보통신업,412.42,-90.04,-0.97,-0.72,-6.58,4.97,-55.92,-0.61,3.23,-36.84,0.63,-385.82,8.22,0.94,577.86,49.03,75.3,17.06,-31.01,0.23,0.74,-56.92,67587936,-55.36,155.36,65.79,3.25,0.852477116,0.001423513,-0.868763019,0.100372143,4.756309377,8.02906449,-70.82300604,-56.04688383,7.374166514,-0.277417068,-0.492664719,0.041832955,-104.9087951,-115.6500987
57,동신건설(주),25950,14-Dec,건설업,15.98,3.82,19.93,73.95,153.39,-2,3116.58,12.1,12.02,9.24,0.6,2.77,26.66,220.26,19.56,520.01,1656.64,491.53,56.14,312.26,3.51,2.3,50483624,11.23,88.77,0.81,28.79,0.163590523,0.417348985,0.76506766,0.079945251,0.36462018,7.920058339,0.356791713,-5.042698081,-42.08045051,0.019462509,0.134191736,0.000126882,-81.16498277,-75.94645435
59,에스케이커뮤니케이션즈(주),66270,14-Dec,정보통신업,30.74,-19.58,-14.71,-32.9,999999999,-1.7,216.89,-7.84,4.32,10.55,0.49,-12.85,4.96,6.66,31.29,216.07,617.95,216.01,27.18,49.83,1.96,-9.63,93909607,0,0,0,3949.2,0.238338745,0.116685676,-0.48755886,1.17009018,0.648629141,8.245927675,-11.74471742,-17.79896202,-26.78883168,-0.083637605,-0.38406795,0,64.35768191,56.11269912
1,(주)더블유아이,73570,15-Dec,제조업,42.68,-4.88,62.04,130.24,0.18,6.57,109.42,41.77,2.15,21.48,0.53,-7.78,9.72,2.96,47.21,43.54,216.58,40.47,-16.37,3.89,0.79,-2.58,15165610,16.71,83.29,23.31,6.16,0.320719966,0.011272033,-1.507177864,0.151162136,1.286299311,7.352675847,313.1039495,-61.52350201,-87.19647722,0.00841697,-0.038620884,0.045648948,1212.191219,97.13909476
3,(주)비덴트,121800,15-Dec,제조업,19.53,-18.32,12.52,14.65,-6.47,0.19,35.6,4.03,3.86,7.78,0.36,-8.8,8.47,1.47,37.97,335.74,793.04,186.19,33.37,106.73,1.5,-6.66,22678785,34.08,65.92,23.2,1.51,0.275216398,0.151088987,0.333562989,0.435958893,0.723941528,7.847749512,17.58869852,13.82669676,-21.86339398,-0.034613937,-0.274844125,0.005353908,-372.6956704,-492.414137
5,(주)스틸플라워,87220,15-Dec,제조업,188.62,-25.59,-6.41,-4.82,-2.54,4.7,-2.56,-3.35,11.78,-1.47,0.48,-38.72,3.2,0.87,227.88,54.74,509.73,41.84,-26.04,4.36,0.69,-12.23,137747009,3.59,96.41,59.72,5.11,0.695013437,0.025102132,-0.061908698,0.199618599,2.24629297,8.421370447,-15.69156821,-36.3681374,-31.26419051,-0.078222242,-0.176010113,0.030840709,0.438420302,-30.19904823
7,(주)썬코어,51170,15-Dec,제조업,157.16,-32.7,-0.18,-0.11,-6.71,2.58,0.79,-0.07,3.49,0.28,0.51,-35.88,3.16,1.33,183.54,79.72,233.87,55.74,-11.24,2.59,0.83,-16.8,46764329,3.65,96.35,42.84,3.04,0.647316067,0.014335196,-0.147926807,0.294910999,1.582440474,8.069563051,47.20013405,53.64126188,18.06620659,-0.132741335,-0.27174335,0.019779677,-390.3342887,-368.564145
9,(주)씨엔플러스,115530,15-Dec,제조업,157.13,-44.41,-6.92,-5.71,-5.9,1.77,-4.44,-3.76,11.53,-2.57,0.51,-56.12,5.92,0.85,192.84,46.48,708.2,38.03,-28.71,4.27,0.85,-22.73,27882191,7.73,92.27,57.9,10.96,0.65851887,0.02291613,-0.063317239,0.239511414,2.198026248,7.710469483,-33.0328157,-14.63122555,-18.55235143,-0.083028716,-0.379483141,0.014066748,36.43819199,5.388592524
11,(주)알파홀딩스,117670,15-Dec,제조업,97.19,5.08,11.67,18,1.16,1.61,150.41,8.89,12.65,20.61,0.76,7.56,6.1,5.41,97.71,124.3,839.97,123.2,11.95,61.68,1.54,3.85,50827475,18.03,81.97,19,103.5,0.494195902,0.303201416,0.38988672,0.148247065,0.76896251,7.824122624,-2.33171139,9.556490257,33.27376053,0.024309639,0.078429018,0.020876009,-68.64678945,-42.62200103
13,(주)에스엘바이오닉스,214310,15-Dec,제조업,29.01,8.96,11.03,42.47,25.56,0.25,101.25,12.97,21.98,40.16,1.18,15.4,5.44,2.83,43.97,247.76,1277.77,218.36,29.77,33.41,3.85,10.54,57249639,20.41,79.59,15.76,19.86,0.30541917,0.067317122,0.170806113,0.087374752,0.721016208,7.687184412,79.56888992,46.55635318,18.93082611,0.15537815,0.298804299,0.006075886,-22.44893984,-17.95850274
15,(주)에이루트,96690,15-Dec,제조업,9.91,8.46,9.72,70.87,196.34,-1.81,67.17,6.39,5.87,15.87,0.69,6.26,6.3,2.61,9.91,684.34,812.61,589.35,52.67,219.67,9.78,5.82,29335971,26.22,73.78,5.46,8.07,0.090140404,0.198008436,0.624215456,0.16107021,0.421094377,7.649880373,5.12964839,15.38517345,5.590777312,0.069596103,0.827259752,0.000354476,97.77565995,-6.62342601
17,(주)중앙디앤엠,51980,15-Dec,제조업,149.31,-115.38,6.42,6.69,-17.87,1.11,-462.62,4.2,1.99,-54.52,0.55,-103.14,4.7,5.43,168.1,121.5,105.5,94.07,11.98,64.2,1.45,-63.44,18838770,-25.86,125.86,35.65,3.83,0.627007689,0.357555463,-0.06742987,0.223711049,0.86683596,7.45950848,-66.15883626,18.2158553,-8.163411552,-0.265159281,-1.669857578,0.014840221,-98.45090954,-129.1993336
19,(주)케이에스피,73010,15-Dec,제조업,29.85,-6.27,9.03,8.2,-1.12,-2.84,7.25,3.27,8.53,1.94,0.36,-3.71,4.23,1.38,66.39,267.23,1415.38,166.58,30,8.43,0.92,-2.26,40286747,1.59,98.41,26.19,1.84,0.399006603,0.015116111,0.108724117,0.058291254,0.866318171,8.04613177,-3.616695475,-4.923405869,9.175430493,-0.015294828,-0.057889136,0.013615872,-55.15986769,-196.1539093
21,(주)트루윈,105550,15-Dec,제조업,56.33,-11.76,16.11,12.26,-2.6,2.81,14.77,6.92,8.21,9.1,0.5,-11.79,5.06,0.86,129.76,107.01,790.84,85.65,1.72,3.58,1.01,-5.91,32165136,11.13,88.87,52.6,9.49,0.564755582,0.008765781,0.083135006,0.208034127,1.694842254,7.874219776,3.078711577,-23.7745375,-11.09406739,-0.048654494,-0.118634171,0.018685033,-204.4741089,-270.2821047
23,에스비더블유생명과학(주),151910,15-Dec,제조업,365.8,-30.05,-2.49,-1.38,-4.69,2.04,26.14,-1.14,14.98,11.66,0.46,-57.29,3.58,0.95,482.91,80.04,560.65,31.76,-12.52,3.96,0.61,-13.81,90289360,1.59,98.41,51.39,1.64,0.828447745,0.025172341,-0.068712392,0.13243422,2.901077762,8.294803253,-44.47868236,9.721382025,-52.23959636,-0.053536686,-0.181981127,0.011404834,-332.2349632,-6185.884443
25,에스에이치엔엘(주),50320,15-Dec,제조업,174.09,-9.33,-7.03,-14.58,-16.97,0.73,53.06,-9.27,4.21,18.76,1.12,-29.63,5.57,4.82,174.72,96.87,116.2,95.6,-1.98,48.46,1.73,-10.43,15651205,11.77,88.23,25.3,22.89,0.63599845,0.307108219,-0.55812726,0.334966605,1.06075786,7.07402811,-22.03822109,-16.78834778,1.149153334,-0.24295137,-0.160900169,0.014317502,-346.2219272,-73.90784318
27,테라사이언스(주),73640,15-Dec,제조업,294.22,-100.42,-12.53,-8.02,-3.69,3.98,-88.77,-6.14,2.15,-39.08,0.28,-95.26,4.97,0.54,326.94,41.98,102.78,23.27,-39.98,1.53,0.41,-28.59,28933361,-7.3,107.3,61.56,1.56,0.765774155,0.01057048,-0.101722533,0.255544663,3.034163082,7.771002178,-70.69849812,-62.10892907,-18.36670152,-0.093515336,-0.40841898,0.025316595,-64.67177959,-284.6978973
29,한국정밀기계(주),101680,15-Dec,제조업,18.39,-36.84,0.41,0.46,-23.57,-0.51,6.86,0.09,8.47,0.65,0.21,-9.88,2.61,2.26,25.07,468.12,3025.39,130.06,54.13,18.65,0.91,-7.63,35571865,-18.43,118.43,13.05,0.44,0.20042882,0.027416565,0.44433916,0.282570453,0.389788213,8.201380998,-7.949642576,-19.68315587,-40.47126547,-0.096653621,-0.334347173,0.004100221,-6.017185502,-14.33178502
31,(주)골드퍼시픽,38530,15-Dec,도매 및 소매업,19.29,-54.82,-28.28,-71.42,-9.59,2.51,-108.01,-18.45,0.85,-9.75,0.53,-55.42,2.95,2.98,34.82,349.83,79.93,308.07,35.75,72.2,1.14,-28.97,18635305,-5.61,105.61,10.41,3.98,0.258289094,0.103326011,-0.46646145,0.38626081,0.673258372,7.455960827,27.91681391,-40.13441491,13.03539063,-0.233774008,-0.623663262,0.024369843,-41.65112933,-38.23403731
33,(주)디에스앤엘,141020,15-Dec,도매 및 소매업,134.53,-23.56,-4.83,-12.37,-10.88,0.75,-43.81,-7.9,5.42,-11.7,1.57,-72.02,8.39,6.38,177.16,118.62,119.32,102.34,9.04,45.91,3.15,-37.08,53708366,6.36,93.64,27.38,15.88,0.639199157,0.222855858,-0.379971234,0.216206633,1.17582421,7.516297842,-46.96460823,-10.07487739,343.0085742,-0.240257143,-0.743073306,0.02207421,-16.65260574,-54.02076129
35,(주)소리바다,53110,15-Dec,정보통신업,101.52,-18.13,-11.45,-31.49,-92.96,-0.42,652.98,-16.54,1.82,26.46,1.34,-45.82,7.28,30.79,110.69,153.19,55.21,153.19,25.63,55.32,2.9,-24.24,28552984,0,0,5.69,0,0.525372193,0.266560353,-0.815422908,1.181841134,0.551649549,7.29572843,-31.14949461,-12.6197334,-1.431166548,-0.243100964,-0.52510908,0.002615014,2.433090436,26.11485466
37,(주)씨그널엔터테인먼트그룹,99830,15-Dec,정보통신업,138.74,-96.76,-28.72,-14.61,-3.08,5.56,-158.89,-8.82,0.95,-16.14,0.33,-69.07,7.24,1.7,152.57,76.96,93.65,70.25,-12.66,9.15,0.62,-32.1,25161180,-9.5,109.5,50.6,6.71,0.604064778,0.056168891,-0.170323681,0.319208161,1.457886796,7.913298892,-14.81943905,105.3076152,119.2657973,-0.137425835,-0.599776331,0.044666247,-125.3491478,-339.647765
39,(주)초록뱀이앤엠,131100,15-Dec,도매 및 소매업,136.13,-19.2,-0.63,-0.53,-3.37,3.89,15.57,-0.35,11.06,8.48,0.5,-27.3,10.23,0.92,195.49,37.63,549.31,25.8,-28.73,1.08,0.76,-9.6,56447508,1.69,98.31,52.81,6.85,0.661575086,0.004953089,-0.0458191,0.18500225,2.442569516,8.010240636,-20.50336703,-13.72348105,3.422907021,-0.083991571,-0.146824593,0.024944747,-92.5851332,-70.31502667
41,(주)케이엔씨글로벌,68150,15-Dec,건설업,89.94,-71.11,-36.57,-27.42,-2.58,2.85,1.34,-13.08,0.53,0.15,0.37,-58.68,63.94,2.53,91.23,100.08,66.96,98.36,0.04,1.28,0.66,-26.04,16141855,0,0,0,0,0.477060023,0.005998648,-0.844438008,0.719913232,1.012163271,7.654422046,51.99266017,45.47005277,-17.79008997,-0.11343771,-0.468269924,0.04404429,56.69762356,40.53918668
43,씨앤티85(주),56730,15-Dec,건설업,75.53,-54.63,-16.19,-15.26,1.15,4.39,3.04,-8.08,1.07,1.38,0.54,-78.92,5.57,1.07,112.55,82.44,81.55,82.44,-6.24,19.02,0.87,-29.74,18838071,16.95,83.05,45.65,14.82,0.529526294,0.068396433,-0.849768735,0.109064033,1.502873845,7.576882246,113.7653805,68.874448,207.1804922,0.032885901,-0.477115606,0.028670872,295.5410576,-49.94072186
45,아이이(주),23430,15-Dec,도매 및 소매업,9.37,-38.7,7.03,28.13,-0.65,0.73,-279.31,3.51,0.52,-13.97,0.45,-25.12,2.03,9.99,14.26,117.59,80.89,114.08,1.44,56.04,1.42,-17.36,31967267,15.09,84.91,3.02,164.85,0.12482955,0.045963166,-0.582656896,0.157937336,1.032422559,7.806307421,34.76637445,-81.22948048,-20.45428344,-0.003143228,-0.550851181,0.004832574,81.36270594,-253.7940547
1,(주)디에스케이,109740,16-Dec,제조업,98.82,4.58,2.75,1.72,2.77,1.96,55.23,0.91,18.32,8.48,0.51,10.29,3.22,3.32,112.86,98.7,1548.52,89.9,-0.61,48.42,1.09,2.33,59535940,29.34,70.66,35.43,11.28,0.530201856,0.224783479,0.19661585,0.215377115,1.153244276,8.253797709,104.5218912,78.67611849,5.444765765,0.039640703,0.050031924,0.014291758,-55.71060573,-71.01055185
3,(주)블루베리엔에프티,44480,16-Dec,제조업,9.97,-6.93,9.33,58.71,-30.94,-1.08,71.61,5.74,3.57,17.96,0.6,-4.59,4.79,2.41,10.84,664.62,523.07,437.63,50.77,203.65,6.34,-4.16,15334875,8.78,91.22,2.43,2.78,0.097776518,0.183101557,0.482667641,0.156879727,0.446043839,7.39671754,-5.425560226,-11.29375163,-12.08827338,-0.041433928,-0.439338349,0.001339194,31.16694098,32.4859482
5,(주)스킨앤스킨,159910,16-Dec,제조업,53.96,-31.23,-10.87,-18.63,0.29,4.21,21.16,-7.08,5.89,9.81,0.63,-30.47,6.2,1.3,61.31,119.95,524.94,106.77,6.67,49.83,1.26,-19.83,38353435,42.75,57.25,20.8,17.33,0.380093649,0.166698445,-0.391468248,0.410035294,0.965888838,7.769946765,54.33153541,8.879966255,82.66264759,0.011118281,-0.394804472,0.037755337,1042.234649,23.60232303
7,(주)썬테크놀로지스,122800,16-Dec,제조업,79.37,-31.24,7.37,7.39,0.77,3.57,7.5,3.96,11.69,2.88,0.56,-32.97,6.24,1.33,115.24,154.49,1003.52,116.25,20.09,60.51,1.21,-17.63,25054557,29.22,70.78,37.94,3.48,0.535393964,0.223152554,0.123519854,0.245098926,0.926132671,7.668592512,-16.09409448,28.36554328,0.904223344,0.026564399,-0.378907762,0.034544916,-47.05495449,-567.1301323
9,(주)에스마크,30270,16-Dec,제조업,18.72,-73.56,-35.58,-17.69,-6.4,4.26,-19.93,-9.67,1.4,-7.74,0.27,-44.19,12.4,0.7,120.51,231.45,233.18,200.31,11.16,9.05,0.5,-19.99,28428152,-24.81,124.81,48.4,10.28,0.546498667,0.007678593,-0.325447488,0.323714887,1.771904662,8.019592888,93.77878981,17.28136696,-46.28352945,-0.184694886,-0.438342072,0.030397038,-9.775493227,-22.19590705
11,(주)에스에프씨,112240,16-Dec,제조업,23.73,3.91,19.59,41.26,1.73,-0.01,52.86,9.48,4.17,7.92,0.57,2.7,1.99,2.61,29.82,329.95,519.84,276.29,42.04,107.33,3.2,2.22,47400350,12.19,87.81,16.55,3.85,0.229725807,0.196205187,0.403107994,0.116116927,0.515145259,7.990997071,21.67364821,16.70315616,-7.106658544,0.003253564,0.125011097,0.001884055,284.1152366,43.73526876
13,(주)에임하이글로벌,43580,16-Dec,제조업,36.35,-270.17,-51.38,-24.69,-14.36,0.81,-347.36,-6.67,0.43,-26.06,0.16,-54.8,2.67,2.38,36.99,151.05,203.7,147.02,13.55,76.03,0.81,-43.57,4439599,-25.73,125.73,11.78,5.09,0.27001492,0.201771265,-0.390000917,1.067914918,0.820798704,7.534143134,30.25364134,3.874908782,-67.26349815,-0.21371222,-2.197661275,0.01488053,-1029.587732,-835.6643989
15,(주)에프티이앤이,65160,16-Dec,제조업,97.42,-2.18,-18.69,-15.87,0.21,4.65,40.43,-8.13,1.71,12.79,0.49,-2.3,4.82,1.38,105.04,109.44,185.81,87.73,4.48,9.22,0.91,-1.07,44902714,0,0,0,0,0.512300073,0.046918017,-0.066169291,0.218089512,0.984358506,8.01386099,45.41363931,40.0111385,-6.81620855,0.006366841,-0.019852197,0.029682925,3222.112065,95.6161302
17,(주)우성아이비,194610,16-Dec,제조업,142.19,0.6,-12.34,-8.37,0.94,3.36,49.73,-5.96,25.48,9.87,0.56,1.32,3.06,2.09,248.14,116.98,1442.18,63.01,6.94,3.38,0.82,0.34,33559045,31.86,68.14,56.52,2.61,0.712758079,0.015527193,0.106869817,0.283825687,1.818041431,7.841640607,17.10283406,54.82239846,0.082564501,0.019552786,0.004861935,0.02079484,-66.88030936,-25.01592464
19,(주)위노바,39790,16-Dec,제조업,25.74,-130.08,-13.63,-42.31,-3.38,1.17,-134.75,-8.68,0.53,-48.3,0.47,-78.71,2.22,1.85,25.82,240.13,65.21,201.56,28.67,16.14,2.02,-60.59,20362860,14.3,85.7,3.68,10.1,0.205223814,0.033028439,-0.894045804,0.278997302,0.640027288,7.50458829,-39.38935845,-42.49382527,12.84264281,-0.063346278,-2.632673755,0.018746355,-1005.485943,-2319.737575
21,(주)이브이수성,84180,16-Dec,제조업,37.6,8.43,18.51,43.55,17.14,0.57,28.01,12.95,6.86,16.81,0.68,8.68,4.72,1.16,42.34,142.47,688.74,103.78,11.22,46.22,2.05,5.77,28127090,22.36,77.64,15.18,5.83,0.297472143,0.122077669,0.626703846,0.126144262,0.887780866,7.60417629,6.911258085,-4.500171227,-17.75737624,0.066708558,0.172495865,0.003892241,-19.65638949,16.28421942
23,(주)지디,155960,16-Dec,제조업,29.56,-45.46,20.98,20.92,-35.11,-1.57,12.51,5.42,3.55,4.97,0.24,-14.73,18.78,0.45,34.94,168.28,1015.25,167.97,14.96,94.67,1,-11.12,32216062,-14.73,114.73,20.39,307.18,0.258917481,0.20739524,0.25894616,0.187708758,0.851929479,8.096201365,-13.1638453,6.663948489,-33.69562341,-0.081945128,-0.454346178,0.002334052,-57.61673273,24.38088144
25,(주)차바이오텍,85660,16-Dec,제조업,70.24,6.1,8.89,10.24,10.79,-0.13,147.33,5.2,17.78,27.32,0.64,5.86,7.93,2.97,102.96,173.98,1132.11,169.68,25.6,50.31,1.53,3.88,449260920,33.75,66.25,8.68,43.73,0.507287291,0.174109416,0.14208869,0.248930301,0.807465699,8.885886346,-15.16070643,25.10439041,14.08884607,0.056266984,0.093145658,0.005214151,125.4150701,312.3300594
27,(주)코디,80530,16-Dec,제조업,73.46,-159.05,-45.83,-9.66,-5.43,2.94,-89.62,-4.28,1.16,-25.52,0.11,-32.38,1.56,0.36,79.67,97.52,492.53,94.09,-1.01,24.85,0.26,-17.36,8087303,8.12,91.88,37.88,3.14,0.443413893,0.101651189,-0.032656189,0.850617814,1.080303785,7.937069404,25.81382621,40.02153339,-85.28143376,-0.083995898,-0.416673091,0.015475182,-82.20255334,-219.1606822
29,(주)트레이스,52290,16-Dec,제조업,70.79,-44.77,-63.52,-34.08,-0.72,5.84,5.03,-14.29,0.71,1,0.22,-19,2.15,0.99,72.18,109.38,170.37,92.13,3.86,2.93,0.47,-9.94,14681170,25.24,74.76,37.3,1.92,0.419220835,0.012054963,-0.356218153,0.317749403,0.947539317,7.814755323,21.25319664,16.26297313,-58.37440863,-0.01450396,-0.208227596,0.020240034,88.97708653,51.89988466
31,(주)행남사,8800,16-Dec,제조업,134.79,-83.46,-7.65,-6.32,-3.52,1.9,-337.17,-4.35,0.85,-39.34,0.44,-107.63,2.28,2.06,221.11,158.79,44.44,96.52,24.68,1.32,0.72,-36.76,27950372,8.67,91.33,51.1,1.47,0.688576623,0.005559861,-0.56070774,0.230272928,1.070796259,7.691310246,-55.5975283,-22.55886714,-32.43746197,-0.063225057,-0.604568565,0.017973437,-1542.639514,-7277.338543
33,레이젠(주),47440,16-Dec,제조업,108.71,-17.74,0.28,0.62,-9.02,0.99,25.05,0.32,12.01,12.08,0.94,-35.77,5.52,1.97,110.25,92.51,487.04,69.87,-3.87,22.93,1.85,-16.65,99824346,4.29,95.71,39.14,7.66,0.524366496,0.118567584,-0.050693846,0.158915862,1.096822049,7.929844658,-37.19896693,-25.1715965,-25.35109277,-0.108903142,-0.328624242,0.012072807,-443.7485883,-666.33641
35,지나인제약(주),78650,16-Dec,제조업,334.78,-16.75,13.99,14.42,-2.76,2.85,41.21,11.39,15.68,28.85,0.76,-63.19,8.37,1.11,375.86,31.66,347.31,19.87,-48.08,0.71,0.95,-12.75,93027788,5.68,94.32,53.8,7.51,0.789853193,0.005018813,-0.200982043,0.152831367,3.698535487,8.057845326,-5.112948524,-4.004190436,6.868221962,-0.073119091,-0.159654782,0.026528551,-132.9066073,-16.84195085
37,휴림네트웍스(주),192410,16-Dec,제조업,25.48,-21.73,16.53,35.35,999999999,-1.32,57.92,7.36,8.45,3.65,0.43,-11.53,4.26,5.6,26.3,400.49,1502.69,375.36,60.61,345.71,2.24,-9.32,15256623,-16.13,116.13,0,11.46,0.208247373,0.697294621,0.632440846,0.181817234,0.242781299,7.534781819,-10.67404508,-12.61576264,-42.46486648,-0.14716978,-0.486010045,0,-1613.608959,-362.7932358
39,(주)넥스지,81970,16-Dec,정보통신업,7.55,1.84,8.61,68.46,-229.76,-0.65,358.2,5.54,8.66,22.75,0.65,1.3,3.84,8.79,8.81,887.11,1236.81,815.13,54.62,544.68,7.78,1.19,24953286,39.09,60.91,0,10.78,0.080972434,0.378003107,0.670865854,0.407349798,0.418218877,7.588368194,1.82763118,2.92106362,8.914677439,-0.01063212,0.142809762,4.63E-05,-231.021572,3.469949613
41,(주)세영디앤씨,52190,16-Dec,"예술, 스포츠 및 여가관련 서비스업",101.37,-238.29,-162.31,-24.37,-15.74,2.11,23.07,-13.27,0.73,4.18,0.08,-47.01,1.91,0.45,119.52,45.86,369.39,45.86,-25,16.56,0.15,-19.48,3016994,-169.67,269.67,43.78,0,0.544469784,0.076471946,-0.645482834,1.232646137,1.730321948,7.567123348,143.1994473,-43.11219755,-5.172255553,-0.369694756,-0.54819322,0,13.68658734,59.40563356
